CONTESTO_PRECEDENTE;GOLD;CONTESTO_SUCCESSIVO;MEANING;FUNCTION;BERT;MARTYNA;FRANCESCO;FEDERICO;SARA;LARA
Per i primi cinque minuti il massaggio non va interrotto (amenoche non si sia obbligati ad eseguire contemporaneamente la respirazione bocca;a;bocca .;juxtaposition/contact;modifier;a;a;a;a;a;a
Primo edificio per la musica progettato dallo studio di Michel Rojkind, è il frutto di un processo progettuale sviluppato braccio;a;braccio con la direzione dell'Orchestra: le scelte riguardanti il tipo di sala, il numero di sedute e le destinazioni funzionali degli ambienti sono dunque condivise e volute dai successivi inquilini dello spazio.;juxtaposition/contact;modifier;a;a;a;a;a;a
Ma non primadi aver beccato Nauplio finoa levargli la pelle, a scuoiarlo, brano;a;brano .;succession/iteration/distributivity;modifier;dopo;dopo;per;dopo;/;dopo
E così, goccia a goccia, o meglio, campo;a;campo e casa a casa, in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).;succession/iteration/distributivity;modifier;a;a;a;a;a;a
I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento corpo;a;corpo e nelle incursioni notturne.;juxtaposition/contact;modifier;a;a;a;/;a;a
Avvicinandosi si trovano - e si vedono da vicino - centinaia di bellissimi uccelli che, dorso;a;dorso , sembrano coprire l'acqua con un manto rosato.;juxtaposition/contact;modifier;a;su;a;dopo;a;a
La sua voce si impoveriva man mano che andava avanti, come se le sue parole si portassero via fibra;a;fibra il tessuto del suo timbro.;succession/iteration/distributivity;modifier;per;su;per;dopo;dopo;per
La neve continuava a cadere, fiocco a fiocco;a;fiocco accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.;succession/iteration/distributivity;modifier;,;e;a;a;/;a
Una volta tolte di mezzo le operaie, le due regine si trovano fronte;a;fronte .;juxtaposition/contact;modifier;a;a;a;a;a;a
La fine portava la festa, il maiale si svuotava goccia;a;goccia , in chiesa il prete issava il Cristo infreddolito sulla croce e dava l'ostia ai credenti, le strade si riempivano, sulla terra bianca la chiazza rossa si stendeva con la lentezza delle cose passate, e il mio sguardo non trovava rifugio.;succession/iteration/distributivity;modifier;per;su;per;dopo;dopo;per
Non esistono infine uffici: gli impiegati e le segretarie operano gomito;a;gomito in open space.;juxtaposition/contact;modifier;a;a;a;a;/;a
Lotto, come molti di noi, con difficoltà economiche, che spero di superare, grado;a;grado .;succession/iteration/distributivity;modifier;per;dopo;per;per;dopo;per
Alfio per il resto della serata rimase mortificato a guardarla ballare i valzer lenti guancia;a;guancia con Piastrein.;juxtaposition/contact;modifier;a;a;a;a;a;a
Il geometra De Palo e il geometra Ranieri vengono sguinzagliati per battere palmo;a;palmo la città sulle loro station wagon.;succession/iteration/distributivity;modifier;a;a;a;contro;a;a
Drogo lo indossò e si guardò pezzo;a;pezzo nel piccolo specchio della propria stanza.;succession/iteration/distributivity;modifier;';su;per;per;/;per
Dopo anni passati prima come venditore porta;a;porta di assicurazioni e di calzature per donne, poi come comparsa in film e serie televisive dimenticabili come Il ritorno dei pomodori assassini e Baby talk, questo è il suo momento.;succession/iteration/distributivity;modifier;a;a;a;a;a;a
A sfidarlo sarà Nicolas Almagro, protagonista di un emozionante partita punto;a;punto contro il brasiliano Bellucci.;succession/iteration/distributivity;modifier;a;dopo;per;a;a;a
Fuori le due Red Bull dopo il secondo giro: Ricciardo si ferma a bordo pista per un problema elettronico, Verstappen buca dopo un ruota;a;ruota con Lewis, ed è costretto ad arrendersi.;juxtaposition/contact;nominal;a;a;con;a;contro;a
Fuori c'erano i fiorai profumati e i mendicanti storpi, spalla;a;spalla : e solo a guardarli s'allargava in me la confusione della vita.;juxtaposition/contact;modifier;a;a;a;contro;a;a
Giovanissime, con le treccine e gli occhialetti, stanno chine sui quaderni, testa;a;testa insieme ai loro studenti: quelli incapaci di tenere il passo della grande macchina alla conquista del pianeta.;juxtaposition/contact;modifier;a;a;a;a;/;a
Erano nati a distanza di pochi giorni l'uno dall'altro e da generazioni le loro famiglie abitavano, come si dice da queste parti, uscio;a;uscio e così i due soci erano cresciuti assieme, assieme erano andati a scuola, quattro chilometri all'andata e quattro al ritorno, sotto il sole, con la neve o con la pioggia.;juxtaposition/contact;modifier;dopo;a;a;a;/;/
E poi magari la madre va via piangendo a tutto spiano ma almeno l'ha abbracciata, ha saputo che sta bene: viso;a;viso .;juxtaposition/contact;modifier;a;a;su;contro;a;a
Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui, volta;a;volta , è impegnato.;succession/iteration/distributivity;modifier;per;dopo;in;per;per;per
Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro, gomito a gomito, anima;a;anima , ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere.;juxtaposition/contact;modifier;per;a;a;a;a;a
Così si sente superiore nel cortile, a esempio, sul cav. Bizzini, suo dirimpettaio, balcone;a;balcone , che vive con la figlia, il genero e i ragazzi un maschio e una femmina e potrebbe essere privilegiato, ma se sapesse scrollarsi di dosso il rischio di venir ficcato in un ospizio per anziani.;juxtaposition/contact;modifier;dopo;su;per;a;contro;/
E così, goccia a goccia, o meglio, campo a campo e casa;a;casa , in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).;succession/iteration/distributivity;modifier;a;a;a;a;a;a
Il più attuale si fa sfilando ciocca;a;ciocca , per creare l'effetto piuma, che alleggerisce la pettinatura e rende la piega particolarmente facile.;succession/iteration/distributivity;modifier;per;dopo;per;a;dopo;per
Nel frattempo, i macedoni rinchiusi nella cittadella fecero una sortita e presero alle spalle i guerrieri avversari che si battevano corpo;a;corpo , nelle vie strette e tortuose, davanti alle loro stesse case.;juxtaposition/contact;modifier;a;a;a;a;a;a
Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te cuore;a;cuore .;juxtaposition/contact;modifier;a;a;a;a;e;a
Nanni guarda il triangolino di frittata deflagrare e ricomporsi nel piatto di Cecilia, mentre l'insalata scompare foglia;a;foglia con estenuante lentezza, e tutte le cose che vorrebbe dirle non le può dire.;succession/iteration/distributivity;modifier;per;dopo;per;per;una;dopo
Una mitologia personale, insomma, costruita fotogramma;a;fotogramma ritagliandomi di netto ciò che è necessario per un Olimpo fatto in casa: un pugno di tragedie sofoclee, uomini ed eroi, martiri casuali, omicidi senza fonte e senza fine\;succession/iteration/distributivity;modifier;per;dopo;per;per;dopo;per
Ai due lati del viale, dentro gabbie di ferro avvolte di tela di sacco per ripararle dalle tempeste di sabbia, alcune piante di poinciana nutrite dall'irrigazione goccia;a;goccia e ancora incredule sul senso della propria esistenza.;succession/iteration/distributivity;modifier;a;a;per;a;a;per
Nel braccio di Bruno è conficcato l'ago e lungo il flessibile scorre goccia;a;goccia la medicina che per il momento regala al suo volto un'aria distesa e l'ombra di un sorriso.;succession/iteration/distributivity;modifier;per;su;per;per;dopo;dopo
Meg Conti scoppiò a piangere, tanta era l'emozione, ma erano lacrime dolci che goccia;a;goccia le lavavano un'antica colpa e le ridavano il desiderio di vivere.;succession/iteration/distributivity;modifier;a;a;a;dopo;dopo;per
E se bisognava affrontarlo - bisognava necessariamente affrontarlo - era di certo meglio farlo in gruppo, in questo gomito;a;gomito che ci saldava l'uno all'altro e che era, nell'imminenza del pericolo, come un ultimo rifugio.;juxtaposition/contact;modifier;a;a;a;a;a;a
Intorno al tavolo non c'erano abbastanza sedie per tutti e così Kenneth dovette stare gomito;a;gomito con Shirley, cosa che invero pareva non dispiacergli affatto.;juxtaposition/contact;modifier;a;a;a;a;a;a
Riuscì ancora a vedere i due uomini, vicini al suo viso, appoggiati l'uno all'altro guancia;a;guancia , che osservavano la fine.;juxtaposition/contact;modifier;per;a;a;a;a;a
A Lucas Avenue guardavamo dall'alto in basso quelle disgraziate nei casini di Chestnut o di Market Strect, che stavano muro;a;muro con i teatri di varietà, le case da gioco dove un bullo poteva tentare la fortuna al faro o ad altri giochi, trovare qualsiasi tipo di liquore, e soddisfare qualunque capriccio sessuale.;juxtaposition/contact;modifier;a;a;a;a;a;a
Il rumore del mare continuava a coltivare e a vedere crescere, onda;a;onda , il rigoglio del suo disinteresse.;succession/iteration/distributivity;modifier;dopo;dopo;dopo;dopo;dopo;dopo
Per individuare le casse di zinco, la polizia batte palmo;a;palmo tutta la basilica, partendo dai sottotetti, scoprendo locali nemmeno mappati nelle cartine catastali, per passare alle stanze che ospitano gli organi, sino a sgabuzzini ricavati vicino alle aule, come quello ispezionato vicino all'attuale aula 201: la coincidenza è interessante, perché la stanza si trova a pochi metri dal quarto piano del palazzo adiacente: proprio la vecchia sede dell'istituto Ludovico da Victoria, la scuola di musica dove Emanuela nel 1983 andava a lezione.;succession/iteration/distributivity;modifier;a;a;a;a;a;dopo
Tutta l'area è stata immediatamente interdetta e i carabinieri la stanno ispezionando palmo;a;palmo alla ricerca di altri indizi utili all'indagine.;succession/iteration/distributivity;modifier;a;a;a;a;a;per
Quando si riprese, Ron andò a vendere porta;a;porta i prodotti della Rawleigh come suo padre.;succession/iteration/distributivity;modifier;';a;a;a;a;a
Profumino invadente di tabaccaio di lusso spacciato per raro oggetto di profumeria, qui la tirchieria è di casa, roba che ti intontisce l'olfatto, venditrice di bigiotteria porta;a;porta o casalinga con marito assente, fa tante telefonate ad amiche che fanno anche loro tante telefonate.;succession/iteration/distributivity;modifier;a;a;a;a;a;a
Se tu non dai la qualità settimana;a;settimana , purtroppo queste grandi piattaforme, con tutto il rispetto perché è un mercato, ti trattano non come un dipendente a tempo indeterminato ma come un contratto a ore.;succession/iteration/distributivity;modifier;per;dopo;per;per;dopo;per
Per cui nessuno ci pensa al povero animale che bazzica senza meta nel ben delimitato territorio, che ormai conosce zolla;a;zolla .;succession/iteration/distributivity;modifier;’;su;per;per;dopo;per
La madre era sparita dietro le spalle larghe dello sconosciuto, i due stavano attaccati bocca;a;bocca e si stringevano forte.;juxtaposition/contact;modifier;a;a;per;a;/;a
Ma anche questa volta per occupare la Città Santa devono combattere corpo;a;corpo con i palestinesi per annientare la resistenza araba.;juxtaposition/contact;modifier;a;a;a;a;a;a
Gli indicò gli aiutanti che si tenevano abbracciati, guancia;a;guancia , con un sorriso che poteva essere umile o ironico\;juxtaposition/contact;modifier;per;a;a;/;a;a
La maggior parte dei dirigenti è lì, a lavorare spalla;a;spalla con l'imprenditore.;juxtaposition/contact;modifier;a;a;a;a;a;a
Entrambi in passato hanno lavorato spalla;a;spalla come aggiunti a Palermo.;juxtaposition/contact;modifier;’;a;a;a;a;a
Esattamente come la vecchia Unione sovietica che macinava acciaio;su;acciaio e, per certi versi, anche la Cina attuale.;greater_plurality/accumulation;nominal;e;su;su;su;su;su
"Tutto ""montato"" rase su frase, aggettivo";su;aggettivo , fino al crollo repentino della spaventevole magione.;succession/iteration/distributivity;modifier;,;su;per;su;dopo;su
Il ventilatore non vale niente, muove aria;su;aria , sempre la stessa.;greater_plurality/accumulation;nominal;,;su;per;su;su;con
Marcella Bazzoni da poche ore si è dimessa da tecnico dell'Itm Jchnusa, la formazione di pallamano che nella prima parte di campionato ha macinato avversari;su;avversari nella A2 maschile, per poi crollare inanellando quattro sconfitte di seguito.;greater_plurality/accumulation;nominal;e;su;su;su;su;su
Ormai collaudato l'adattamento di Vucinic, attaccante di valore che continua a fare bagni;su;bagni d'umiltà.;greater_plurality/accumulation;nominal;e;e;su;e;e;e
Il meccanismo adottato in Francia per convincere i cittadini della ineluttabilità del nucleare è lo stesso adottato di recente in Italia: balle;su;balle raccontate da venduti e soldi su soldi per la pubblicità e per foraggiare i giornali.;greater_plurality/accumulation;nominal;su;su;su;su;e;su
Ormai, Ennio come un fucile, Athos come una mitraglia, sfornano barzellette;su;"barzellette, come si suol dire, prendono il pallino in mano; fra un bicchiere e l'altro, una risata e l'altra, cadono le ultime barriere; ci sentiamo ormai comese fossimo davvero cresciuti tutti insieme; nasce in questa occasione oltrealla sintonia del branco, anche l'intercalare ufficiale della vacanza ""olè... se dobla""!";greater_plurality/accumulation;nominal;" """;su;su;su;su;su
Per oltre due ore, Ramses aveva tirato con l'arco, colpendo bersaglio;su;bersaglio .;greater_plurality/accumulation;nominal;per;dopo;su;su;dopo;su
Poco sveglio da giovane, invecchiando aveva peggiorato e al calare del sole il vino che s'era bevuto durante il giorno, sommandosi bicchiere;su;bicchiere , lo riduceva ad appisolarsi accantoal fuoco d'inverno o sotto l'albero del cortile al tempo della buona stagione.;succession/iteration/distributivity;modifier;per;su;su;per;dopo;su
Il suo amore per i libri era nato là, a mettere borotalco;su;borotalco sui libri della biblioteca della scuola, borotalco melmoso e poi ancora borotalco melmoso alla pagina dopo - se eri riuscito a scollarla - tra risate e chiacchiere frenetiche, programmando impraticabili scherzi.;greater_plurality/accumulation;nominal;e;su;su;e;su;/
"John Lennon diceva che Beethoven ""era una truffa proprio come noi, produceva brani";su;"brani "", Ringo invece ""ne ammirava soprattutto le poesie"".";greater_plurality/accumulation;nominal;su;su;su;su;su;su
Il Libro del Mondo è, in fondo, il lungo racconto che con incredibile coerenza ha costruito canzone;su;"canzone quel grande ""moralista camuffato da immmoralista"" (Cesare G. Romana ) che era Fabrizio.";succession/iteration/distributivity;modifier;per;su;per;per;dopo;per
A destra c'è il mare, a sinistra case;su;case , fino a pochi secondi prima di toccare.;greater_plurality/accumulation;nominal;dopo;su;E;e;su;e
E fu senz'altro la disperazione che li portò a organizzare cene;su;cene con vino in abbondanza e conseguente e inevitabile sbronza collettiva.;greater_plurality/accumulation;nominal;,;su;su;su;su;e
E in fin dei conti due gomme sono come un paio di scarpe da corsa, macinano chilometri;su;chilometri , talvolta senza una meta precisa.;greater_plurality/accumulation;nominal;e;su;su;su;su;su
Il sole d'inizio primavera era alto e già piuttosto caldo e i ragazzi ansimavano apparentemente stremati, ma continuavano a scontrarsi con crescente impeto stringendo i denti, rispondendo colpo;su;colpo e urtandosi con gli scudi con tutta la forza residua delle membra.;succession/iteration/distributivity;modifier;dopo;su;per;dopo;dopo;dopo
La capacità di significare tramite icone implica anche che tutti i processi di comunicazione siano di secondo livello, ovvero comunicazioni;su;comunicazioni , spesso lontane dalla vita quotidiana.;greater_plurality/accumulation;nominal;e;su;su;di;di;di
Nel suo ufficio sono accatastate copie;su;copie della Fattoria degli animali di Orwell: il contributo del governo britannico all'insegnamento dell'inglese nelle scuole afghane e una lezione elementare sui danni del marxismo, messa in bocca a un maiale.;greater_plurality/accumulation;nominal;di;su;di;su;su;su
Invano risuonò l'ululato, straziante, di tutti i superstiti: i proiettili seguitarono a trafiggere corpi;su;corpi , trasformandoli in un batter d'occhio in bambolotti di pezza privi di vita.;greater_plurality/accumulation;nominal;e;su;i;su;su;su
La condizione, naturalmente, è voler discutere davvero del merito dei problemi: mettendo da parte una logica di contrapposizione politica esasperata che, a urne chiuse, non può che produrre danni;su;danni .;greater_plurality/accumulation;nominal;';su;su;su;su;su
Prima parlò dei suoi studi segreti, quelli da architetto, e mi raccontò in modo snervante, dettaglio;su;dettaglio , come si era svolto un esame difficile che aveva superato brillantemente.;succession/iteration/distributivity;modifier;dopo;dopo;con;per;dopo;per
Sposando Luigi, avrebbe lavorato per tutta la vita negli uffici della Coop, risparmiando euro;su;euro per arrivare alla fine del mese.;greater_plurality/accumulation;nominal;e;dopo;per;su;/;in
La passione dichiarata è una sola: disseppellire e filtrare leggende di isole mai esistite o trasfigurate o disperse che tuttavia avevano influenzato generazioni;su;generazioni di navigatori portoghesi spagnoli inglesi, e popolato le loro mappe.;greater_plurality/accumulation;nominal;e;su;e;e;su;e
A ventisei anni, nel 1972, scrivere le prime poesie - Lego sull'incontro con la madre e i fratelli consanguinei è un modo di costruirsi il mondo mattone;su;mattone come un giocattolo solido e colorato, con la stessa fantasia e la stessa pazienza di un bambino.;succession/iteration/distributivity;modifier;per;su;per;per;dopo;su
Restando in tema acquatico, si voga onda;su;onda , al concerto dei Litfiba.;succession/iteration/distributivity;modifier;dopo;su;per;dopo;su;in
Le era sembrato di costruire ogni giorno pezzetto;su;pezzetto la propria vita e ciò che l'aveva inorgoglita di più era che ogni piccolo miglioramento derivasse dalla sua volontà e dalla assoluta mancanza di compromessi.;succession/iteration/distributivity;modifier;per;dopo;per;per;dopo;per
Vuotò il bicchiere, chiuse gli occhi assaporando la squisitezza, annuì, e si alzò, un livello dopo l'altro, splendido edificio, piano;su;piano .;succession/iteration/distributivity;modifier;dopo;su;per;per;dopo;per
I monaci hanno progettato e costruito pietra;su;pietra , cattedrali e monasteri.;succession/iteration/distributivity;modifier;’;su;per;su;dopo;su
Il capo degli anestesisti, Giuseppe Sala, ha respinto punto;su;punto ogni accusa nel faccia a faccia più lungo della giornata.;succession/iteration/distributivity;modifier;’;dopo;per;per;dopo;per
Sul sei pari abbiamo uno scambio assassino, rovescio;su;rovescio , e io sono un fascio di nervi scossi.;succession/iteration/distributivity;modifier;,;su;per;e;/;su
Come si erano convinti a smettere di accettare le regole subite stagione;su;stagione da centinaia di migliaia di raccoglitori di frutta, verdura, zucchine e pomodori, angurie in Puglia e grappoli al Nord, senza ribellione?;succession/iteration/distributivity;modifier;’;dopo;per;per;dopo;dopo
Ad un certo punto incontrarono una fontana ghiacciata che, strato;su;"strato, aveva formato una specie di scultura che sembrava la sagoma di un animale; ma a dire il vero bastava girarsi intorno per riconoscere nel paesaggio mille immagini diverse disegnate dalla galaverna.";succession/iteration/distributivity;modifier;’;su;per;per;su;per
Il vento era ancora leggero, ma prometteva tempesta, la sabbia volava bassa e copriva le strade, velo;su;velo .;succession/iteration/distributivity;modifier;per;su;per;su;dopo;/
Per poi tornare a farsi la guerra, perché alle elezioni europee la contesa sarà voto;su;voto , e i due si contendono lo stesso elettorato.;succession/iteration/distributivity;modifier;a;su;per;a;su;/
Ma i grattacapi più grandi arrivano da Salvini, che prima raccatta voti;su;voti , incentrando tutto il suo operato sulla lotta all'immigrazione clandestina, riducendo i numeri degli sbarchi (grazie anche ai precedenti accordi portati avanti da Marco Minniti con le tribù libiche) e poi fa saltare il banco sulla Tav.;greater_plurality/accumulation;nominal;e;su;su;su;su;su
I torinesi la videro, ma tra tumulti, morti, feriti: perché mentre loro lavoravano, mattone;su;mattone , a costruire l'aula voluta dal conte e dalla città per sostituire il provvisorio Parlamento subalpino messo su alla buona in soli 113 giorni (in tempo per proclamare, il 18 febbraio 1861, il Regno d'Italia), la diplomazia aveva già deciso di accontentare Napoleone III e trasferire la capitale a Firenze e pochi anni più tardi a Roma.;succession/iteration/distributivity;modifier;dopo;su;su;per;su;dopo
Ne praticavano una da dimostrare giorno;su;giorno , tra gli agguati subiti e quelli resi.;succession/iteration/distributivity;modifier;dopo;dopo;per;dopo;dopo;dopo
Non si fa che procedere per accumulo: monologo;su;monologo.;succession/iteration/distributivity;modifier;';su;su;per;su;su
E ora questi incapaci hanno il coraggio di chiedere soldi;su;soldi a chi le tasse le paga già fino all'ultimo centesimo.;greater_plurality/accumulation;nominal;,;su;su;su;su;su
Maria, non l'aveva neppure mai fatto l'amore e, ciò nonostante, si vedeva recapitare scatole;su;scatole di preservativi.;greater_plurality/accumulation;nominal;di;su;su;su;e;e
Bene il raddoppio Mortara, unica linea ancora a singolo binario in città, capacità limitata e treni affollati che accumulano ritardi;su;ritardi a causa degli incroci.;greater_plurality/accumulation;nominal;e;su;su;su;su;su
Così finii, ancora una volta, ad accumulare in breve tempo incarichi;su;incarichi , fino ad arrivare a dirigere l'intera divisione.;greater_plurality/accumulation;nominal;su;su;su;su;su;su
Ieri però, dopo giorni di accuse dell'opposizione sui soldi spesi dall'amministrazione per le celebrazioni garibaldine, un gruppo di manifestanti lo ha affrontato a viso aperto e Daverio, ribattendo offesa;su;offesa , in qualche caso ha preferito il rilancio, come quando ha definito «cicciona» una delle manifestanti più ingaggiate.;succession/iteration/distributivity;modifier;dopo;dopo;per;per;su;per
Novità più significative, figlie di questo nuovo modo di intendere la speleologia, sono le esplorazioni all'OPIII, alla Feruglio, nel Complesso del Foran del Muss (che macinando km;su;km e giunzioni su giunzioni, sta insidiando l'adiacente Complesso del Col delle Erbe, da oltre 25 anni al primo posto nella classifica delle grotte più estese), e il Led Zeppelin, che è divenuta la più profonda cavità della regione.;greater_plurality/accumulation;nominal;su;dopo;su;su;su;e
Una pessima notizia per il Basaksehir, club di recente fondazione che sta lottando punto;su;punto con il più quotato Galatasaray per la vittoria dello scudetto.;succession/iteration/distributivity;modifier;per;dopo;per;a;dopo;per
Aveva sempre permesso che loro ne approfittassero – una masochistica consapevolezza che la portava a collezionare sbagli;su;sbagli .;greater_plurality/accumulation;nominal;su;su;su;su;su;su
Nel ventre dell'acropoli, una collina compresa fra via Santa Maria in Costantinopoli, via Foria e via Tribunali, le epoche si sono sistemate strato;su;strato , dalle mura greche che risalgono alla fondazione nel V secolo avanti Cristo, fino agli edifici ottocenteschi.;succession/iteration/distributivity;modifier;per;su;su;su;su;per
Dove ho letto che al momento finale, quando la vita, superficie;su;superficie , si è - incrostata di esperienza, sai tutto, il segreto, il potere e la gloria, perché sei nato, perché stai morendo, e come tutto avrebbe potuto andare diversamente?;succession/iteration/distributivity;modifier;,;su;per;per;su;per
