ID	CONTESTO_PRECEDENTE	UNKNOWN	CONTESTO_SUCCESSIVO
41	E poi magari la madre va via piangendo a tutto spiano ma almeno l'ha abbracciata, ha saputo che sta bene: viso	contro	viso .
87	Nel suo ufficio sono accatastate copie	su	copie della Fattoria degli animali di Orwell: il contributo del governo britannico all'insegnamento dell'inglese nelle scuole afghane e una lezione elementare sui danni del marxismo, messa in bocca a un maiale.
1	Oh, ma si deve pur fare differenza tra uomo	e	uomo .
21	Primo edificio per la musica progettato dallo studio di Michel Rojkind, è il frutto di un processo progettuale sviluppato braccio	a	braccio con la direzione dell'Orchestra: le scelte riguardanti il tipo di sala, il numero di sedute e le destinazioni funzionali degli ambienti sono dunque condivise e volute dai successivi inquilini dello spazio.
113	Novità più significative, figlie di questo nuovo modo di intendere la speleologia, sono le esplorazioni all'OPIII, alla Feruglio, nel Complesso del Foran del Muss (che macinando km	su	km e giunzioni su giunzioni, sta insidiando l'adiacente Complesso del Col delle Erbe, da oltre 25 anni al primo posto nella classifica delle grotte più estese), e il Led Zeppelin, che è divenuta la più profonda cavità della regione.
108	E ora questi incapaci hanno il coraggio di chiedere soldi	su	soldi a chi le tasse le paga già fino all'ultimo centesimo.
65	La madre era sparita dietro le spalle larghe dello sconosciuto, i due stavano attaccati bocca	a	bocca e si stringevano forte.
43	Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro, gomito a gomito, anima	ad	anima , ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere.
67	Gli indicò gli aiutanti che si tenevano abbracciati, guancia		guancia , con un sorriso che poteva essere umile o ironico
24	I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento corpo		corpo e nelle incursioni notturne.
11	L'apprendimento coinvolge tutto l''arco della vita e la cultura va coltivata giorno	dopo	giorno , sempre, per non far inaridire in noi la fonte del sapere.
42	Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui, volta	per	volta , è impegnato.
13	L'effetto stilistico è molto efficace perché dà l'impressione di vivere immagine	per	immagine , come se ci trovassimo davanti a uno schermo in una sala cinematografica.
58	Il rumore del mare continuava a coltivare e a vedere crescere, onda	dopo	onda , il rigoglio del suo disinteresse.
80	John Lennon diceva che Beethoven era una truffa proprio come noi, produceva brani	su	brani , Ringo invece ne ammirava soprattutto le poesie.
3	Se non riesco a finire il micro-ricamo a cui mi sto dedicando da giorni	e	giorni entro domani sera... cambio hobby!!
74	Ormai collaudato l'adattamento di Vucinic, attaccante di valore che continua a fare bagni	e	bagni d'umiltà.
47	Nel frattempo, i macedoni rinchiusi nella cittadella fecero una sortita e presero alle spalle i guerrieri avversari che si battevano corpo	a	corpo , nelle vie strette e tortuose, davanti alle loro stesse case.
39	Giovanissime, con le treccine e gli occhialetti, stanno chine sui quaderni, testa	a	testa insieme ai loro studenti: quelli incapaci di tenere il passo della grande macchina alla conquista del pianeta.
118	Carica sulla Mercedes il figlio e la ex moglie, si ferma nei migliori alberghi lungo il tragitto, attraversa la Penisola Iberica aggiungendo tappa	e	tappa di un itinerario turistico: Malaga, Costa del Sol, Alicante.
28	Una volta tolte di mezzo le operaie, le due regine si trovano fronte	a	fronte .
23	E così, goccia a goccia, o meglio, campo	a	campo e casa a casa, in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).
33	Il geometra De Palo e il geometra Ranieri vengono sguinzagliati per battere palmo	contro	palmo la città sulle loro station wagon.
