ID,CXN,CONTESTO_PRECEDENTE,GOLD,CONTESTO_SUCCESSIVO,MEANING,FUNCTION
20,bocca a bocca,"Per i primi cinque minuti il massaggio non va interrotto (amenoche non si sia obbligati ad eseguire contemporaneamente la respirazione bocca",a,"bocca .",juxtaposition/contact,modifier
21,braccio a braccio,"Primo edificio per la musica progettato dallo studio di Michel Rojkind, è il frutto di un processo progettuale sviluppato braccio",a,"braccio con la direzione dell'Orchestra: le scelte riguardanti il tipo di sala, il numero di sedute e le destinazioni funzionali degli ambienti sono dunque condivise e volute dai successivi inquilini dello spazio.",juxtaposition/contact,modifier
22,brano a brano,"Ma non primadi aver beccato Nauplio finoa levargli la pelle, a scuoiarlo, brano",a,"brano .",succession/iteration/distributivity,modifier
23,campo a campo,"E così, goccia a goccia, o meglio, campo",a,"campo e casa a casa, in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).",succession/iteration/distributivity,modifier
24,corpo a corpo,"I caduti statunitensi erano già più di centomila, vittime in ugual misura del gelido inverno coreano e della maestria dell'esercito cinese nel combattimento corpo",a,"corpo e nelle incursioni notturne.",juxtaposition/contact,modifier
25,dorso a dorso,"Avvicinandosi si trovano - e si vedono da vicino - centinaia di bellissimi uccelli che, dorso",a,"dorso , sembrano coprire l'acqua con un manto rosato.",juxtaposition/contact,modifier
26,fibra a fibra,"La sua voce si impoveriva man mano che andava avanti, come se le sue parole si portassero via fibra",a,"fibra il tessuto del suo timbro.",succession/iteration/distributivity,modifier
27,fiocco a fiocco,"La neve continuava a cadere, fiocco a fiocco",a,"fiocco accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.",succession/iteration/distributivity,modifier
28,fronte a fronte,"Una volta tolte di mezzo le operaie, le due regine si trovano fronte",a,"fronte .",juxtaposition/contact,modifier
29,goccia a goccia,"La fine portava la festa, il maiale si svuotava goccia",a,"goccia , in chiesa il prete issava il Cristo infreddolito sulla croce e dava l'ostia ai credenti, le strade si riempivano, sulla terra bianca la chiazza rossa si stendeva con la lentezza delle cose passate, e il mio sguardo non trovava rifugio.",succession/iteration/distributivity,modifier
30,gomito a gomito,"Non esistono infine uffici: gli impiegati e le segretarie operano gomito",a,"gomito in open space.",juxtaposition/contact,modifier
31,grado a grado,"Lotto, come molti di noi, con difficoltà economiche, che spero di superare, grado",a,"grado .",succession/iteration/distributivity,modifier
32,guancia a guancia,"Alfio per il resto della serata rimase mortificato a guardarla ballare i valzer lenti guancia",a,"guancia con Piastrein.",juxtaposition/contact,modifier
33,palmo a palmo,"Il geometra De Palo e il geometra Ranieri vengono sguinzagliati per battere palmo",a,"palmo la città sulle loro station wagon.",succession/iteration/distributivity,modifier
34,pezzo a pezzo,"Drogo lo indossò e si guardò pezzo",a,"pezzo nel piccolo specchio della propria stanza.",succession/iteration/distributivity,modifier
35,porta a porta,"Dopo anni passati prima come venditore porta",a,"porta di assicurazioni e di calzature per donne, poi come comparsa in film e serie televisive dimenticabili come Il ritorno dei pomodori assassini e Baby talk, questo è il suo momento.",succession/iteration/distributivity,modifier
36,punto a punto,"A sfidarlo sarà Nicolas Almagro, protagonista di un emozionante partita punto",a,"punto contro il brasiliano Bellucci.",succession/iteration/distributivity,modifier
